Line,# Letter, Cz/theta, Cz/alpha, Cz/betaL, Cz/betaH, Cz/gamma, Fz/theta, Fz/alpha, Fz/betaL, Fz/betaH, Fz/gamma, Fp1/theta, Fp1/alpha, Fp1/betaL, Fp1/betaH, Fp1/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC1/theta, FC1/alpha, FC1/betaL, FC1/betaH, FC1/gamma, C3/theta, C3/alpha, C3/betaL, C3/betaH, C3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, FT9/theta, FT9/alpha, FT9/betaL, FT9/betaH, FT9/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, TP9/theta, TP9/alpha, TP9/betaL, TP9/betaH, TP9/gamma, CP5/theta, CP5/alpha, CP5/betaL, CP5/betaH, CP5/gamma, CP1/theta, CP1/alpha, CP1/betaL, CP1/betaH, CP1/gamma, P3/theta, P3/alpha, P3/betaL, P3/betaH, P3/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, Oz/theta, Oz/alpha, Oz/betaL, Oz/betaH, Oz/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, P4/theta, P4/alpha, P4/betaL, P4/betaH, P4/gamma, CP2/theta, CP2/alpha, CP2/betaL, CP2/betaH, CP2/gamma, CP6/theta, CP6/alpha, CP6/betaL, CP6/betaH, CP6/gamma, TP10/theta, TP10/alpha, TP10/betaL, TP10/betaH, TP10/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FT10/theta, FT10/alpha, FT10/betaL, FT10/betaH, FT10/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, C4/theta, C4/alpha, C4/betaL, C4/betaH, C4/gamma, FC2/theta, FC2/alpha, FC2/betaL, FC2/betaH, FC2/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, Fp2/theta, Fp2/alpha, Fp2/betaL, Fp2/betaH, Fp2/gamma
162,3,0.487,0.253,0.162,0.168,0.034,0.128,0.124,0.024,0.025,0.013,1.01,0.38,0.225,0.106,0.053,0.718,0.777,0.329,0.097,0.054,0.402,0.115,0.103,0.085,0.039,0.423,0.052,0.041,0.017,0.014,1.336,0.291,0.123,0.096,0.044,1.276,0.676,0.147,0.085,0.026,1.373,1.936,0.641,0.271,0.165,2.47,3.434,0.348,0.305,0.122,2.23,5.173,0.341,0.227,0.139,1.567,3.28,0.482,0.234,0.115,1.1,0.737,0.182,0.072,0.031,3.253,6.407,0.542,0.292,0.12,1.681,9.077000000000002,0.8279999999999998,0.409,0.203,3.365,20.416,1.215,0.485,0.256,1.621,3.491,2.104,8.288,0.645,2.975,14.127,0.8349999999999999,0.525,0.187,3.091,17.373,1.102,0.418,0.161,3.866,41.174,0.804,0.8159999999999998,0.22,3.717,19.858,1.262,0.522,0.146,2.307,3.525,0.449,4.74,1.276,3.42,16.532,0.901,0.332,0.155,2.521,8.352,0.862,0.272,0.123,2.603,5.197,1.099,0.352,0.128,2.156,1.249,0.227,0.213,0.072,0.503,3.104,0.356,0.805,0.129,1.563,2.201,0.315,0.061,0.036,0.53,1.73,0.61,1.556,0.15,0.381,0.085,0.053,0.077,0.027,1.422,0.626,0.353,0.139,0.07,1.321,0.309,0.205,0.15,0.058
163,3,0.53,0.211,0.249,0.259,0.047,0.156,0.117,0.036,0.025,0.013,1.188,0.81,0.415,0.193,0.121,0.971,0.738,0.388,0.105,0.08,0.294,0.154,0.136,0.099,0.041,0.329,0.031,0.029,0.011,0.007,1.389,0.354,0.188,0.111,0.041,0.8329999999999999,0.492,0.207,0.14,0.051,1.207,1.267,0.484,0.24,0.118,2.871,2.357,0.5,0.36,0.166,1.952,3.945,0.436,0.204,0.113,1.459,2.881,0.55,0.301,0.103,0.781,0.984,0.306,0.084,0.039,2.804,5.403,0.629,0.34,0.112,3.32,7.727,0.775,0.365,0.202,3.525,16.398,1.006,0.653,0.248,1.308,2.931,2.214,8.612999999999998,0.709,2.872,11.269,0.967,0.415,0.151,2.612,13.841,1.149,0.357,0.144,3.669,36.974,1.472,1.054,0.221,2.781,17.181,1.483,0.552,0.147,2.077,3.042,0.782,4.564,1.59,2.447,15.574,1.17,0.451,0.158,2.36,6.122,1.87,0.44,0.141,2.1,4.88,1.094,0.468,0.15,2.118,1.191,0.368,0.264,0.08799999999999998,0.574,3.035,0.338,0.745,0.147,1.021,2.541,0.308,0.071,0.043,0.583,2.347,0.891,1.456,0.128,0.266,0.08,0.046,0.052,0.025,1.214,0.672,0.453,0.184,0.081,1.352,0.197,0.281,0.133,0.072
164,3,0.733,0.196,0.261,0.314,0.055,0.155,0.102,0.056,0.031,0.013,1.364,1.135,0.549,0.25,0.159,1.452,1.131,0.499,0.147,0.101,0.301,0.211,0.167,0.107,0.042,0.159,0.02,0.019,0.01,0.005,1.27,0.523,0.305,0.159,0.035,0.931,0.794,0.237,0.179,0.07399999999999998,1.862,1.855,0.431,0.235,0.103,4.095,4.024,0.607,0.415,0.191,1.871,4.582,0.709,0.304,0.105,2.058,3.401,0.581,0.413,0.104,0.803,1.781,0.505,0.111,0.057,3.178,7.908,0.517,0.444,0.139,6.79,13.589,1.192,0.511,0.217,4.926,24.124,1.202,0.8329999999999999,0.244,1.629,4.413,1.761,8.797,0.808,3.708,12.592,1.282,0.393,0.142,2.394,13.961,1.187,0.336,0.157,3.681,30.712,2.132,1.084,0.203,2.2,15.65,1.804,0.508,0.146,1.489,2.749,1.562,4.802,1.733,1.526,11.121,1.386,0.475,0.13,2.685,5.968,3.052,0.613,0.147,1.721,4.425,1.142,0.525,0.142,1.819,1.897,0.741,0.382,0.101,0.776,2.298,0.36,0.592,0.142,0.551,2.062,0.315,0.071,0.043,0.632,1.963,0.9960000000000001,1.254,0.118,0.315,0.08899999999999998,0.069,0.047,0.022,1.006,1.276,0.671,0.233,0.103,1.247,0.397,0.443,0.148,0.08599999999999998
165,3,0.8459999999999999,0.253,0.196,0.261,0.05,0.148,0.095,0.081,0.041,0.014,1.273,1.226,0.493,0.204,0.126,1.742,1.909,0.643,0.271,0.108,0.401,0.302,0.189,0.08799999999999998,0.042,0.071,0.016,0.018,0.011,0.006,1.161,0.967,0.44,0.213,0.041,1.141,1.365,0.199,0.185,0.078,2.672,3.496,0.519,0.3,0.132,4.904,7.381999999999999,0.581,0.511,0.179,1.841,7.112,1.143,0.627,0.125,3.013,5.216,0.69,0.604,0.155,0.983,2.837,0.713,0.153,0.082,3.647,13.749,0.382,0.571,0.178,8.426999999999998,25.002,2.065,0.968,0.255,5.671,40.627,2.251,0.93,0.259,2.054,7.482,1.129,9.501,0.776,4.188,19.291,1.796,0.487,0.167,2.493,18.432,1.274,0.38,0.18,3.605,26.206,2.555,0.94,0.175,2.026,16.824,1.893,0.437,0.142,0.954,2.979,1.987,5.238,1.608,1.274,7.497,1.605,0.384,0.09300000000000001,2.976,9.425,3.715,0.8189999999999998,0.134,1.924,4.806,1.238,0.582,0.117,1.86,3.695,1.184,0.604,0.104,0.955,1.692,0.321,0.547,0.123,0.48,1.576,0.328,0.063,0.041,0.699,1.089,0.919,1.228,0.131,0.718,0.2,0.14,0.095,0.025,0.929,2.521,0.8499999999999999,0.281,0.117,1.082,1.174,0.533,0.196,0.079
166,3,0.691,0.429,0.123,0.171,0.045,0.15,0.114,0.102,0.046,0.014,0.957,1.249,0.327,0.123,0.068,1.673,2.455,0.775,0.41,0.111,0.621,0.445,0.183,0.06,0.046,0.121,0.022,0.018,0.011,0.006,1.041,1.581,0.477,0.215,0.056,1.235,1.603,0.156,0.168,0.065,3.121,4.839,0.584,0.386,0.167,4.487,9.531,0.441,0.587,0.161,1.38,8.993999999999998,1.422,0.9940000000000001,0.157,3.381,7.199,0.756,0.716,0.22,0.959,3.605,0.69,0.204,0.109,3.249,18.722,0.395,0.626,0.192,6.211,32.948,2.799,1.423,0.282,4.374,52.757,4.143,0.923,0.28,1.941,9.566,0.7269999999999999,10.296,0.665,3.336,26.52,2.031,0.58,0.208,2.284,21.539,1.51,0.427,0.192,2.721,23.312,2.752,0.8349999999999999,0.178,1.88,18.104,1.652,0.423,0.146,1.08,3.359,1.5,5.527,1.402,1.253,7.428,1.807,0.322,0.092,2.329,12.411,3.746,1.064,0.138,2.02,5.364,1.264,0.688,0.117,2.092,5.206,1.335,0.779,0.105,0.916,1.524,0.26,0.758,0.116,0.741,1.638,0.31,0.057,0.045,0.809,0.635,0.8389999999999999,1.693,0.166,1.109,0.37,0.205,0.15,0.03,0.888,3.487,0.806,0.32,0.103,1.08,2.051,0.441,0.229,0.058
167,3,0.626,0.805,0.124,0.172,0.05,0.147,0.129,0.097,0.044,0.011,0.585,1.175,0.215,0.107,0.043,1.391,2.078,0.7249999999999999,0.415,0.105,0.783,0.499,0.134,0.049,0.053,0.274,0.045,0.019,0.012,0.007,0.8439999999999999,1.953,0.409,0.171,0.06,1.134,1.203,0.129,0.125,0.047,3.04,4.685,0.566,0.408,0.173,3.089,8.795999999999998,0.334,0.495,0.15,0.74,9.081,1.329,1.068,0.177,2.85,8.327,0.672,0.607,0.227,0.77,3.738,0.476,0.242,0.116,2.272,20.714,0.461,0.574,0.175,2.827,34.366,3.027,1.462,0.283,2.313,58.321,5.341,0.916,0.299,1.648,9.379,0.693,10.452,0.652,2.096,30.264,1.699,0.523,0.251,1.542,21.504,1.53,0.407,0.219,1.428,25.601,2.732,0.897,0.24,2.038,18.047,1.188,0.497,0.166,1.706,3.885,0.68,5.5,1.305,1.205,9.178,1.705,0.355,0.145,1.216,12.753,3.34,1.282,0.178,1.567,5.236,1.15,0.762,0.165,1.933,4.934,1.044,0.734,0.106,0.635,1.416,0.246,1.069,0.122,1.106,1.761,0.248,0.054,0.05,0.8209999999999998,0.629,0.744,2.357,0.207,1.019,0.406,0.19,0.149,0.03,0.758,3.172,0.573,0.324,0.07299999999999998,1.096,2.075,0.264,0.212,0.041
168,3,0.8379999999999999,1.191,0.147,0.229,0.051,0.141,0.109,0.066,0.038,0.007,0.347,0.872,0.178,0.123,0.047,1.164,1.173,0.47,0.296,0.081,0.671,0.364,0.071,0.047,0.05,0.401,0.071,0.026,0.016,0.008,0.807,1.77,0.326,0.132,0.052,0.876,0.642,0.098,0.063,0.032,2.436,3.667,0.485,0.339,0.154,1.774,6.952,0.302,0.29,0.138,0.607,8.282,0.972,0.804,0.18,2.08,8.926,0.507,0.408,0.173,0.741,3.221,0.32,0.254,0.091,1.709,21.097,0.552,0.497,0.161,1.612,33.943,2.733,1.123,0.273,1.619,63.737,4.656,0.952,0.311,1.932,8.368,0.61,10.143,0.779,2.006,31.533,1.072,0.366,0.275,0.981,21.987,1.109,0.361,0.259,0.8349999999999999,37.037,2.261,1.047,0.307,2.506,18.396,0.8499999999999999,0.564,0.18,1.911,4.522,0.263,5.314,1.301,1.242,10.604,1.188,0.385,0.208,0.574,13.214,2.506,1.355,0.203,1.127,5.345,0.974,0.716,0.215,1.418,3.368,0.585,0.516,0.09300000000000001,0.384,1.141,0.237,1.199,0.137,1.277,1.449,0.167,0.051,0.049,0.705,0.679,0.532,2.66,0.239,0.647,0.313,0.11,0.104,0.028,0.534,2.042,0.369,0.291,0.053,0.902,1.261,0.142,0.161,0.031
169,3,0.927,1.188,0.125,0.231,0.039,0.146,0.07399999999999998,0.039,0.031,0.006,0.285,0.564,0.166,0.112,0.05,1.049,0.883,0.25,0.195,0.054,0.404,0.192,0.039,0.043,0.033,0.375,0.07499999999999998,0.04,0.023,0.01,0.954,1.356,0.3,0.128,0.045,0.624,0.48,0.08999999999999998,0.023,0.027,1.601,3.894,0.506,0.268,0.14,0.954,6.899,0.322,0.195,0.133,1.089,8.022999999999998,0.685,0.549,0.187,1.561,10.243,0.526,0.337,0.126,0.8389999999999999,2.506,0.304,0.248,0.058,1.689,21.593,0.962,0.535,0.172,1.808,35.89,2.553,0.812,0.28,1.738,69.355,3.416,0.9890000000000002,0.305,2.301,8.128999999999998,0.499,9.916,0.973,2.315,33.007,0.908,0.334,0.265,0.748,24.909,0.8299999999999998,0.419,0.261,0.807,51.15,2.014,1.209,0.326,2.494,19.208,0.803,0.56,0.17,1.366,4.428,0.212,5.341,1.352,1.246,11.609,0.7259999999999999,0.37,0.229,0.4,15.446,1.775,1.276,0.187,1.206,6.699,0.958,0.622,0.22,1.165,2.132,0.371,0.329,0.07,0.396,0.933,0.191,1.118,0.166,1.154,0.98,0.116,0.049,0.048,0.568,0.68,0.338,2.455,0.243,0.529,0.323,0.053,0.079,0.035,0.476,1.36,0.29,0.251,0.05,0.62,0.583,0.099,0.117,0.024
170,3,0.746,0.781,0.077,0.167,0.026,0.187,0.08699999999999998,0.043,0.026,0.006,0.403,0.464,0.142,0.08599999999999998,0.042,1.084,1.555,0.212,0.177,0.043,0.273,0.156,0.045,0.05,0.018,0.246,0.059,0.05,0.028,0.011,1.084,1.294,0.299,0.15,0.047,0.665,0.657,0.126,0.024,0.029,1.309,5.597,0.63,0.318,0.142,0.783,8.964,0.353,0.28,0.132,1.876,9.404000000000002,0.75,0.589,0.191,1.461,12.322,0.801,0.434,0.119,0.773,2.435,0.323,0.227,0.043,1.878,22.852,1.725,0.74,0.189,1.889,39.643,2.587,0.749,0.304,1.803,71.445,3.267,1.142,0.275,1.966,8.601,0.499,9.534,1.188,1.99,35.94,1.825,0.609,0.238,0.51,29.099,1.212,0.653,0.218,0.756,57.056,1.939,1.481,0.322,1.838,18.854,1.0,0.585,0.147,0.73,3.263,0.418,5.662,1.515,1.035,12.332,0.647,0.447,0.202,0.449,16.24,1.431,1.202,0.166,1.467,7.814,1.089,0.66,0.184,1.56,1.714,0.383,0.284,0.061,0.508,0.873,0.134,1.075,0.189,0.907,0.7259999999999999,0.109,0.055,0.053,0.459,0.578,0.26,2.06,0.209,0.713,0.447,0.057,0.082,0.042,0.718,1.347,0.299,0.222,0.054,0.482,0.445,0.096,0.08999999999999998,0.019
171,3,0.497,0.383,0.043,0.104,0.021,0.291,0.195,0.107,0.034,0.012,0.709,0.627,0.123,0.08799999999999998,0.029,1.387,3.026,0.37,0.253,0.048,0.296,0.209,0.079,0.069,0.014,0.148,0.04,0.045,0.026,0.008999999999999998,1.087,1.58,0.309,0.18,0.048,1.12,1.029,0.192,0.067,0.032,1.942,7.726,0.7209999999999999,0.529,0.15,1.478,11.697,0.361,0.461,0.12,2.319,11.273,1.066,0.737,0.163,1.881,13.61,1.08,0.555,0.115,0.574,3.004,0.297,0.202,0.043,2.254,23.567,2.306,0.924,0.178,1.956,41.001,2.516,0.8369999999999999,0.302,2.155,68.916,3.761,1.357,0.24,1.46,8.981999999999998,0.575,8.936,1.316,1.485,38.319,2.901,0.967,0.213,0.388,32.148,1.853,0.906,0.177,0.702,53.128,1.781,1.797,0.331,1.224,17.899,1.185,0.648,0.131,0.625,2.147,0.799,5.88,1.745,0.694,12.489,0.795,0.639,0.154,0.645,13.568,1.19,1.209,0.167,1.322,6.938,1.047,0.757,0.138,2.288,1.862,0.389,0.369,0.069,0.482,0.898,0.128,1.168,0.181,0.729,0.663,0.097,0.07499999999999998,0.053,0.403,0.436,0.349,1.827,0.173,0.8229999999999998,0.458,0.071,0.072,0.037,0.935,1.318,0.297,0.185,0.054,0.533,0.515,0.105,0.065,0.016
172,3,0.326,0.254,0.039,0.079,0.019,0.391,0.316,0.191,0.047,0.02,0.929,1.09,0.161,0.132,0.022,1.901,5.788,0.714,0.43,0.064,0.327,0.284,0.132,0.078,0.014,0.127,0.029,0.027,0.018,0.005,1.02,2.05,0.387,0.187,0.043,1.815,2.101,0.309,0.2,0.037,2.851,11.258,0.793,0.781,0.162,2.511,15.875,0.509,0.646,0.113,1.976,11.808,1.417,0.694,0.12,2.489,15.194,1.173,0.623,0.095,0.491,3.214,0.245,0.182,0.039,2.856,22.788,2.058,0.894,0.144,2.018,39.236,2.07,1.015,0.251,2.723,64.546,3.196,1.42,0.221,1.475,8.689999999999998,0.681,8.713,1.245,1.304,37.596,2.703,1.107,0.192,0.567,32.34,1.943,0.965,0.16,0.798,48.21,1.624,1.847,0.338,1.059,17.675,1.156,0.637,0.124,1.052,2.102,1.031,5.75,1.852,0.476,12.694,0.964,0.759,0.111,0.772,11.575,0.962,1.188,0.168,0.8429999999999999,6.006,0.777,0.704,0.113,2.487,2.8,0.351,0.485,0.083,0.453,1.144,0.171,1.26,0.163,0.775,0.7209999999999999,0.08699999999999998,0.09300000000000001,0.041,0.527,0.409,0.563,1.907,0.175,0.65,0.298,0.07299999999999998,0.052,0.025,0.865,1.069,0.26,0.158,0.05,0.766,0.647,0.125,0.063,0.018
173,3,0.248,0.265,0.046,0.071,0.017,0.372,0.36,0.215,0.048,0.022,0.8399999999999999,1.686,0.271,0.181,0.03,2.56,8.816,1.079,0.611,0.081,0.387,0.429,0.19,0.069,0.014,0.165,0.042,0.016,0.015,0.003,0.894,2.416,0.531,0.158,0.037,2.367,3.699,0.464,0.411,0.045,3.883,15.629,0.893,0.886,0.165,3.504,20.634,0.907,0.7269999999999999,0.116,1.327,10.968,1.654,0.489,0.102,3.117,18.428,1.171,0.664,0.076,0.573,2.74,0.242,0.161,0.029,3.541,22.511,1.427,0.736,0.121,2.066,38.261,1.608,1.193,0.2,3.082,64.199,2.152,1.336,0.21,1.585,8.13,0.698,9.018,1.065,1.334,35.092,1.694,0.9980000000000001,0.173,0.976,31.094,1.638,0.786,0.163,1.059,51.659,1.546,1.488,0.326,1.044,19.351,1.174,0.555,0.123,1.518,2.722,0.912,5.443,1.786,0.509,14.377,1.086,0.694,0.094,0.972,13.782,0.799,1.032,0.15,0.504,7.23,0.517,0.481,0.122,1.95,4.437,0.302,0.46,0.08699999999999998,0.563,1.698,0.218,1.329,0.161,0.928,0.976,0.105,0.096,0.028,0.793,0.533,0.8449999999999999,2.231,0.202,0.333,0.155,0.07,0.037,0.02,0.686,1.14,0.226,0.15,0.047,1.135,0.8159999999999998,0.139,0.084,0.024
174,3,0.255,0.359,0.049,0.094,0.02,0.283,0.418,0.164,0.035,0.017,0.639,2.229,0.385,0.204,0.052,2.755,9.066,1.148,0.619,0.08599999999999998,0.536,0.605,0.262,0.069,0.017,0.22,0.07399999999999998,0.023,0.022,0.003,0.744,2.259,0.61,0.114,0.036,2.298,4.217,0.527,0.509,0.047,4.443,15.853,0.898,0.769,0.144,3.78,20.246,1.257,0.622,0.109,1.016,9.223,1.577,0.347,0.114,3.392,19.431,1.215,0.635,0.062,0.66,2.435,0.316,0.14,0.026,3.694,24.362,1.264,0.622,0.132,2.334,37.438,1.506,1.179,0.208,2.913,69.042,2.0,1.314,0.197,1.264,9.069,0.651,9.364,0.912,1.296,34.693,1.332,0.929,0.168,1.291,32.295,1.516,0.613,0.189,1.623,64.657,1.607,1.029,0.291,1.008,27.879,1.437,0.621,0.127,1.582,4.019,0.665,5.197,1.704,0.756,19.649,1.08,0.611,0.11,1.546,16.433,0.782,0.8249999999999998,0.126,0.563,8.471999999999998,0.411,0.306,0.141,1.367,5.291,0.269,0.317,0.07499999999999998,0.64,2.203,0.224,1.384,0.164,0.856,1.978,0.167,0.105,0.029,0.929,0.766,1.189,2.485,0.209,0.132,0.145,0.066,0.036,0.019,0.667,1.819,0.241,0.147,0.044,1.372,1.182,0.141,0.109,0.032
175,3,0.325,0.599,0.07299999999999998,0.184,0.032,0.298,0.537,0.11,0.026,0.012,0.638,2.7,0.405,0.206,0.084,2.114,5.987,0.91,0.464,0.08699999999999998,0.745,0.804,0.382,0.102,0.022,0.232,0.099,0.039,0.033,0.006,0.769,1.639,0.6,0.092,0.036,1.694,2.958,0.433,0.376,0.039,3.588,10.298,0.8199999999999998,0.582,0.122,2.835,12.803,1.236,0.415,0.092,1.02,6.363,1.257,0.329,0.132,2.728,14.192,1.193,0.465,0.047,0.63,2.592,0.42,0.164,0.042,3.029,24.117,1.432,0.592,0.158,2.743,30.214,1.639,1.004,0.23,2.276,67.83,2.424,1.414,0.202,0.894,11.495,0.8349999999999999,9.806,0.78,1.036,35.715,1.648,1.133,0.191,1.258,36.244,1.566,0.671,0.233,2.523,79.703,2.071,0.876,0.242,1.481,44.899,1.654,0.976,0.144,1.156,6.984,0.597,5.287,1.666,0.987,29.505,0.951,0.755,0.13,2.169,15.321,1.024,0.711,0.11,0.8489999999999999,7.888,0.444,0.302,0.135,1.182,4.344,0.253,0.231,0.054,0.534,2.287,0.234,1.329,0.155,0.618,4.931,0.199,0.15,0.042,0.867,1.201,1.376,2.623,0.186,0.081,0.187,0.063,0.051,0.021,0.751,2.47,0.275,0.144,0.039,1.327,1.792,0.139,0.132,0.039
176,3,0.369,0.913,0.157,0.287,0.049,0.395,0.561,0.095,0.027,0.011,0.8369999999999999,2.861,0.355,0.203,0.109,1.315,2.963,0.591,0.35,0.102,0.8459999999999999,1.027,0.475,0.144,0.026,0.199,0.124,0.052,0.042,0.011,1.009,1.16,0.629,0.118,0.044,1.148,1.413,0.3,0.169,0.03,2.109,4.975,0.769,0.526,0.131,1.354,5.226,0.9,0.297,0.084,0.9910000000000002,3.549,0.892,0.384,0.145,1.373,6.772,0.931,0.249,0.04,0.519,2.647,0.462,0.232,0.066,2.013,19.015,1.372,0.623,0.169,2.638,17.949,1.531,0.867,0.208,1.546,55.229,2.31,1.46,0.236,0.8509999999999999,12.879,1.218,10.691,0.649,0.811,35.033,1.743,1.377,0.231,1.115,41.326,1.374,0.8229999999999998,0.286,3.14,92.544,2.331,0.9910000000000002,0.199,2.437,63.063,1.676,1.304,0.178,0.663,10.427,0.702,6.005,1.549,1.169,42.738,0.912,1.046,0.135,2.502,15.494,1.163,0.7239999999999999,0.118,1.14,9.326,0.526,0.397,0.121,1.256,3.257,0.272,0.261,0.045,0.435,2.323,0.29,1.191,0.138,0.492,9.896,0.192,0.204,0.055,0.7259999999999999,1.702,1.215,2.875,0.171,0.072,0.183,0.063,0.065,0.02,0.804,2.298,0.246,0.135,0.031,1.151,2.035,0.146,0.147,0.043
177,3,0.408,1.145,0.259,0.307,0.059,0.401,0.39,0.079,0.028,0.008999999999999998,0.945,2.439,0.318,0.214,0.121,1.258,2.456,0.363,0.388,0.125,0.74,1.124,0.427,0.155,0.027,0.167,0.157,0.048,0.043,0.015,1.263,1.066,0.686,0.171,0.058,1.099,1.039,0.253,0.096,0.031,1.825,4.322,0.733,0.588,0.171,0.965,3.502,0.598,0.357,0.099,1.026,3.064,0.7,0.51,0.156,0.742,3.407,0.681,0.177,0.052,0.473,2.34,0.433,0.266,0.07499999999999998,1.228,12.813,1.29,0.714,0.161,2.244,10.159,1.413,0.862,0.163,1.172,40.639,2.066,1.358,0.256,0.886,12.018,1.326,11.382,0.602,0.979,32.469,1.584,1.374,0.258,1.325,45.11,0.982,0.874,0.324,2.811,99.528,1.78,1.142,0.179,2.694,71.848,1.461,1.255,0.21,0.382,11.207,0.7229999999999999,7.021,1.362,1.122,52.053,0.868,1.201,0.142,2.571,21.011,0.896,0.8129999999999998,0.156,1.169,14.227,0.597,0.54,0.135,1.238,3.864,0.418,0.343,0.059,0.568,2.622,0.371,1.093,0.128,0.538,13.845,0.308,0.244,0.062,0.583,2.012,1.061,3.166,0.186,0.14,0.128,0.058,0.061,0.016,0.8,1.456,0.169,0.123,0.033,0.892,1.515,0.156,0.161,0.052
178,3,0.514,1.156,0.268,0.234,0.058,0.329,0.194,0.054,0.023,0.006,1.025,2.008,0.333,0.276,0.129,1.766,3.564,0.322,0.484,0.139,0.657,1.084,0.259,0.133,0.027,0.14,0.173,0.035,0.036,0.015,1.273,1.163,0.603,0.203,0.064,1.153,1.492,0.277,0.133,0.038,2.52,6.229,0.656,0.61,0.222,1.568,5.386,0.56,0.46,0.133,1.197,4.316,0.744,0.617,0.16,1.055,3.595,0.551,0.262,0.07399999999999998,0.616,1.83,0.357,0.225,0.06,0.9970000000000001,8.949,1.273,0.759,0.145,2.221,9.882,1.343,0.861,0.142,1.362,31.158,1.882,1.138,0.225,0.775,10.043,1.217,11.013,0.672,1.542,27.585,1.341,1.251,0.238,1.954,42.74,0.71,0.952,0.31,2.436,93.477,1.022,1.217,0.175,2.117,68.953,1.204,0.958,0.211,0.369,9.518,0.786,7.384,1.327,1.036,50.773,0.8409999999999999,1.142,0.161,2.665,25.077,0.57,0.8369999999999999,0.203,1.066,17.584,0.79,0.801,0.177,1.238,5.062,0.625,0.463,0.084,0.956,2.825,0.449,1.091,0.134,0.783,14.663,0.559,0.324,0.07,0.448,2.351,1.204,3.171,0.216,0.407,0.112,0.057,0.05,0.014,0.928,1.091,0.159,0.163,0.061,0.61,0.93,0.229,0.235,0.076
179,3,0.569,0.945,0.186,0.145,0.047,0.335,0.133,0.045,0.023,0.007,1.455,2.46,0.409,0.418,0.129,2.677,5.869,0.521,0.565,0.152,0.933,1.27,0.126,0.105,0.03,0.095,0.16,0.029,0.027,0.012,1.11,1.636,0.487,0.184,0.06,1.149,2.132,0.34,0.179,0.045,3.629,9.326,0.665,0.592,0.259,2.475,8.515,1.031,0.463,0.169,1.441,5.901,1.061,0.631,0.148,1.837,5.439,0.918,0.406,0.092,0.72,1.446,0.348,0.178,0.039,1.171,7.347,1.305,0.736,0.128,2.876,14.3,1.549,0.8169999999999998,0.144,2.089,27.129,1.918,1.017,0.176,0.956,8.579,1.183,9.98,0.794,2.105,21.55,1.213,1.414,0.18,2.659,35.264,0.771,1.263,0.248,2.773,78.75499999999998,1.008,1.241,0.176,1.504,61.454,1.33,0.766,0.198,0.663,8.749,0.967,6.791,1.462,1.217,43.297,1.081,1.005,0.178,2.962,23.471,0.592,0.807,0.228,1.416,17.399,1.206,1.209,0.22,1.609,5.38,0.733,0.632,0.108,1.337,2.648,0.419,1.224,0.14,1.078,13.908,0.752,0.453,0.082,0.39,2.804,1.182,2.898,0.245,0.74,0.233,0.08699999999999998,0.048,0.021,1.187,1.806,0.249,0.291,0.101,0.491,1.018,0.347,0.375,0.102
180,3,0.45,0.68,0.116,0.1,0.034,0.402,0.163,0.064,0.042,0.011,1.886,3.162,0.449,0.524,0.105,3.536,9.285,0.708,0.603,0.174,1.45,1.657,0.09300000000000001,0.08799999999999998,0.034,0.057,0.139,0.03,0.026,0.011,0.935,2.432,0.514,0.135,0.053,1.273,2.857,0.395,0.212,0.047,4.557,13.402,0.666,0.615,0.267,3.127,11.967,1.755,0.402,0.177,1.609,6.873,1.309,0.562,0.12,2.661,7.934999999999999,1.693,0.481,0.099,0.571,1.603,0.441,0.213,0.033,1.311,6.686,1.34,0.704,0.106,3.723,18.034,2.06,0.755,0.144,2.964,24.782,2.031,0.979,0.149,1.701,8.112999999999998,1.359,9.679,0.879,2.36,16.953,1.264,1.611,0.136,2.985,28.288,0.964,1.443,0.194,3.071,66.3,1.71,1.138,0.193,1.187,53.113,1.822,0.675,0.203,1.136,8.955,0.923,5.996,1.482,1.525,35.909,1.614,0.854,0.177,3.12,20.009,0.915,0.8279999999999998,0.222,2.263,15.847,1.532,1.449,0.234,1.978,4.947,0.728,0.733,0.124,1.41,2.264,0.413,1.385,0.141,1.127,12.177,0.732,0.486,0.081,0.57,2.731,0.776,2.526,0.272,0.803,0.424,0.128,0.045,0.032,1.19,2.647,0.346,0.403,0.119,0.49,1.41,0.396,0.445,0.106
